date,datatype,station,attributes,value
2024-01-18T00:00:00,SNWD,GHCND:USW00094728,",,W,2400",30.0
2024-01-18T00:00:00,TMAX,GHCND:USW00094728,",,W,2400",1.1
2024-01-18T00:00:00,TMIN,GHCND:USW00094728,",,W,2400",-5.5
2024-01-18T00:00:00,WDF2,GHCND:USW00094728,",,W,",230.0
2024-01-18T00:00:00,WDF5,GHCND:USW00094728,",,W,",240.0
2024-01-18T00:00:00,WSF2,GHCND:USW00094728,",,W,",7.2
2024-01-18T00:00:00,WSF5,GHCND:USW00094728,",,W,",11.6
2024-01-18T00:00:00,WT08,GHCND:USW00094728,",,W,",1.0
2024-01-19T00:00:00,ADPT,GHCND:USW00094728,",,W,",-78.0
2024-01-19T00:00:00,ASLP,GHCND:USW00094728,",,W,",10105.0
2024-01-19T00:00:00,ASTP,GHCND:USW00094728,",,W,",10041.0
2024-01-19T00:00:00,AWBT,GHCND:USW00094728,",,W,",-33.0
2024-01-19T00:00:00,AWND,GHCND:USW00094728,",,W,",3.3
2024-01-19T00:00:00,PRCP,GHCND:USW00094728,",,W,2400",1.0
2024-01-19T00:00:00,RHAV,GHCND:USW00094728,",,W,",64.0
2024-01-19T00:00:00,RHMN,GHCND:USW00094728,",,W,",41.0
2024-01-19T00:00:00,RHMX,GHCND:USW00094728,",,W,",78.0
2024-01-19T00:00:00,SNOW,GHCND:USW00094728,",,W,",10.0
2024-01-19T00:00:00,SNWD,GHCND:USW00094728,",,W,2400",30.0
2024-01-19T00:00:00,TMAX,GHCND:USW00094728,",,W,2400",0.0
2024-01-19T00:00:00,TMIN,GHCND:USW00094728,",,W,2400",-3.2
2024-01-19T00:00:00,WDF2,GHCND:USW00094728,",,W,",40.0
2024-01-19T00:00:00,WDF5,GHCND:USW00094728,",,W,",30.0
2024-01-19T00:00:00,WSF2,GHCND:USW00094728,",,W,",9.8
2024-01-19T00:00:00,WSF5,GHCND:USW00094728,",,W,",16.5
2024-01-19T00:00:00,WT08,GHCND:USW00094728,",,W,",1.0
2024-01-20T00:00:00,ADPT,GHCND:USW00094728,",,W,",-150.0
2024-01-20T00:00:00,ASLP,GHCND:USW00094728,",,W,",10149.0
2024-01-20T00:00:00,ASTP,GHCND:USW00094728,",,W,",10098.0
2024-01-20T00:00:00,AWBT,GHCND:USW00094728,",,W,",-83.0
2024-01-20T00:00:00,AWND,GHCND:USW00094728,",,W,",4.8
